DRDP Measure,** DRDP Developmental Level ,** Teaching Practice Category,Resource Agency,Activity Title,Activity Description,URL,"** FS Domain (should be Cognitive, Language, Physical or Social Emotional)","Age Range (months) should be the numbers only, e.g., 6-12)",Extra columns unique to that form (list out after) create a new column for each unique variable,FS ActivityCard #,FS Music,FS Infant Card SPANISH URL,"FS Intentions (should be Communication, Attention, Curiosity or Persitence)","FS Intentions (should be Communication, Attention, Curiosity or Persitence)","HSELOF goals (IT-ATL #, IT-SE #, IT-LC #, IT-C #, IT-PMP #)",ASQ page number
LLD 2: Responsiveness to Language,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Toddler,Pretend and Learn,"Encourage children to add pets to their pretend play. Suggest they bathe, walk, feed, and play with their pets.",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,"Participates in songs, stories, and finger plays",15 - 36,,"AG, 2, 23",,,,,,
LLD 2: Responsiveness to Language,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Toddler,Pretend and Learn,Encourage children to set the table for family dinner. Discuss the number of settings and the items that are needed for each setting. ,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,C1a Uses words that tell what an object does,15 - 36,,"AG, 2, 3",,,,,,
LLD 2: Responsiveness to Language,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Toddler,Pretend and Learn,Encourage children to play house.,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,D.4.b. Engages in pretend play,15 - 36,,"AG, 2, 33",,,,,,
LLD 2: Responsiveness to Language,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Toddler,Pretend and Learn,"Set up a doctor's office for pretend play. During the week, add stuffed animals to turn the doctor's office into a veterinary clinic. Encourage children to take turns listening to heartbeats, writing prescriptions, and measuring and bandaging stuffed animal patients. Discuss how these tools are used by doctors, nurses, and veterinarians.",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C2c Identifies the function of objects (toothbrush for brushing teeth),15 - 36,,"AG, 3, 13",,,,,,
LLD 2: Responsiveness to Language,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Toddler,Pretend and Learn,Encourage children to pretend to be firefighters.,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,D.4.b. Engages in pretend play,15 - 36,,"AG, 3, 23",,,,,,
LLD 2: Responsiveness to Language,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Toddler,Pretend and Learn,"Encourage children to explore the props. Invite them to ""write"" letters, glue stamps on envelopes, and wrap boxes. Ask: Have you visited the post office? When? What did you see?",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C2e Answers simple questions,15 - 36,,"AG, 3, 33",,,,,,
LLD 2: Responsiveness to Language,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Toddler,Pretend and Learn,Invite children to set the table with round dishware. Invite them to place round found items on their round plates. Talk with children about things that are round.,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18196,C2c Identifies the function of objects (toothbrush for brushing teeth),15 - 36,,"AG, 6, 3",,,,,,
LLD 2: Responsiveness to Language,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Toddler,Sensory,Invite children to float rubber ducks in the water table. Encourage children to sing duck songs they know as they play.,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 11, 13",,,,,,
LLD 2: Responsiveness to Language,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Toddler,The Three Bears,"Display the story props and read the story. After the story, ask: What is the first thing Goldilocks did. On subsequent readings, ask children to name the second thing Goldilocks did. Eventually, have children use the story props to sequence the three things Goldilocks did in the bears' cottage. Ask: Was it ok that Goldilocks entered the cottage without being invited in by the bears? Why or why not?",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 2, 6",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""A Pet of My Own"" Story Folder","Present story, then ask questions about story",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,C2e Answers simple questions,15 - 36,,"AG, 2, 26",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""Dress the Firefighter""","Dress a doll by placing magnetic clothing pieces on the cookie sheet bear as you are the story, ask children  to retell the story by naming which article of clothing Felix puts on first and then next, discuss firefighter clothing and point out that they are resistant to fire",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,"C3d Sings songs, retells stories, or repeats rhymes to family members or peers",15 - 36,,"AG, 3, 26",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""Humpty Dumpty's New Ears""","Tell story and have children touch ears when they hear word ""ear"" or ""ears"" in story",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,C1d Uses identification words correctly (“eye”),15 - 36,,"AG, 1, 6",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""I Like School""","Display story props and read story, ask ""what do you like about school?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C2e Answers simple questions,15 - 36,,"AG, 3, 6",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""Molly's Jolly Jamboree""","Tell story, ask ""Which animal at the party is the tallest?"" and ""Which animal is the most colorful?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,C2e Answers simple questions,15 - 36,,"AG, 12, 26",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""Molly's Jolly Jamboree""","Present story, ask ""What do you think the zookeeper thought happened when she found the animals all in a pile?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,C2e Answers simple questions,15 - 36,,"AG, 12, 6",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""My Aunt Violet""",Ask children about aunts and uncle that visit them and things they have done with them,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,C2e Answers simple questions,15 - 36,,"AG, 2, 16",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""Old MacDonald""","Read story, ask children which job sounds most interesting",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C2e Answers simple questions,15 - 36,,"AG, 11, 36",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""The Lion's Haircut""","Tell them story, ask ""Who did Leo want to look like?"" and ""What did his father have that Leo didn't have?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,C2e Answers simple questions,15 - 36,,"AG, 12, 36",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""Three Little Kittens""","Read story, have children eventually chime in on ""meow meow meow""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,"C3b Chimes in on predictable lines, rhymes, and alliterative text",15 - 36,,"AG, 2, 6",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""Tillie the Triangle""","Present the story using chalk and a chalkboard, change Tillie's name to add novelty, ask them to decide what Tillie eats, this will change the story a little bit each time and ask the children what they think will happen next",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C2e Answers simple questions,15 - 36,,"AG, 3, 16",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""What Will I Be?""","Read story, then ask ""What would you like to do when you grow up?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C2e Answers simple questions,15 - 36,,"AG, 3, 36",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"""What's in the Box?""",Read story then ask children what they think is in box,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C2e Answers simple questions,15 - 36,,"AG, 3, 36",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,9-1-1,"Sing ""9-1-1"" song and show them phone and when to use it",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C3a Attempts to sing a song,15 - 36,,"AG, 3, 17",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,A Tall View,"Take a minute to look around from higher viewpoints, ask ""can you see more when you are in a higher spot?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,C2e Answers simple questions,15 - 36,,"AG, 12, 23",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Animal Friends,Explain to children that this book has no words so you and the children will use the pictures to create a story,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 12, 16",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Animal Friends,Explain to children that this book has no words so you and the children will use the pictures to create a story,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 12, 26",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Animal Friends,Explain to children that this book has no words so you and the children will use the pictures to create a story,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 12, 36",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Animal Shadow Match,"Have children vote for favorite zoo animal, ask ""which animal has the most votes?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,C2e Answers simple questions,15 - 36,,"AG, 12, 37",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Baby Chicks,"Have children perform ""Little Chicks"" action rhyme in front of peers",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,"C3d Sings songs, retells stories, or repeats rhymes to family members or peers",15 - 36,,"AG, 6, 18",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Black and White Stripes,"Use black tempera paint to make stripes on white paper, have children repeat zebra poem to peers",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,"C3d Sings songs, retells stories, or repeats rhymes to family members or peers",15 - 36,,"AG, 12, 27",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"Brush, Brush, Brush",Have children look in a mirror at their opened mouth and observe teeth and tongue,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,C1c C1d Shows one or more body parts,15 - 36,,"AG, 1, 17",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Build Community Safekeeper Box,Children place photos of self inside box and count number of photos,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C1d C1f Recognizes names of familiar people and objects (peers, balls)",15 - 36,,"AG, 1, 15",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Build Community Safekeeper Box,Children place photos of self inside box and count number of photos,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C1d C1f Recognizes names of familiar people and objects (peers, balls)",15 - 36,,"AG, 1, 25",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Build Community Safekeeper Box,Children place photos of self inside box and count number of photos,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C1d C1f Recognizes names of familiar people and objects (peers, balls)",15 - 36,,"AG, 1, 35",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Build Community Safekeeper Box,Children place photos of self inside box and count number of photos,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C1d C1f Recognizes names of familiar people and objects (peers, balls)",15 - 36,,"AG, 1, 5",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Calm Point to Eyes and Nose,Have children point to eyes (open and close eyes) and nose (pretend to smell flower),https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,C1c C1d Shows one or more body parts,15 - 36,,"AG, 1, 15",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Chinny-Chin-Chin,"Tell an abbreviated version of the story of ""The Three Little Pigs"" and encourage kids to recite the lines ""not by the hair on my chinny-chin-chin when appropriate",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C3b Chimes in on predictable lines, rhymes, and alliterative text",15 - 36,,"AG, 1, 16",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"Chomp, Swish, Clip-Clap","Teach children song, discuss noises horses make",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C3a Attempts to sing a song,15 - 36,,"AG, 11, 7",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Circle,"Sing story using tune of ""If You're Happy and You Know It""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18196,C3a Attempts to sing a song,15 - 36,,"AG, 6, 6",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Clap and Wiggle,"Have children play hand game with you to ""Clap Your Hands""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,C3a C3f Enjoys clapping to songs and rhythmic games,15 - 36,,"AG, 1, 28",I Wiggle.mp3,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Community Friends,"Read book and ask children about community friends, ask ""Which tools does each of these friends use in their work?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C2e Answers simple questions,15 - 36,,"AG, 3, 16",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Community Friends,"Read book, ask ""Would you like to be a firefighter or a police officer? Why?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C2e Answers simple questions,15 - 36,,"AG, 3, 26",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Connect Activity,Name and count the number of children who are absent for the day,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C1d C1f Recognizes names of familiar people and objects (peers, balls)",15 - 36,,"AG, 1, 15",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Connect Activity,Name and count the number of children who are absent for the day,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C1d C1f Recognizes names of familiar people and objects (peers, balls)",15 - 36,,"AG, 1, 25",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Connect Activity,Name and count the number of children who are absent for the day,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C1d C1f Recognizes names of familiar people and objects (peers, balls)",15 - 36,,"AG, 1, 35",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Connect Activity,Name and count the number of children who are absent for the day,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C1d C1f Recognizes names of familiar people and objects (peers, balls)",15 - 36,,"AG, 1, 5",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Creativity Station,"Have children draw pictures, point out they are using hands and fingers",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,C1d Uses identification words correctly (“eye”),15 - 36,,"AG, 1, 23",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Creativity Station,Invite children to draw on square paper. Ask: How is drawing on square paper different from drawing on circular paper?,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18196,C2e Answers simple questions,15 - 36,,"AG, 6, 13",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Creativity Station,Invite children to draw on square paper. Ask: How is drawing on square paper different from drawing on circular paper?,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18196,C2e Answers simple questions,15 - 36,,"AG, 6, 3",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Daddy-O,Have children form circle and sing/play Daddy-O,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,"C3d Sings songs, retells stories, or repeats rhymes to family members or peers",15 - 36,,"AG, 2, 9",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Elephant Ears,Have children listen and chime in on rhyme while in elephant ear,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,"C3b Chimes in on predictable lines, rhymes, and alliterative text",15 - 36,,"AG, 12, 18",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Family Celebrations,"Ask children to tell you about occasions their family celebrates, such as birthdays, weddings, graduations, and holidays. Be sensitive to cultural differences regarding whether or not these events are celebrated and how they might be celebrated. Ask: Who attends these celebrations?",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,C2e Answers simple questions,15 - 36,,"AG, 2, 17",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Farm Animal Stick Puppets,Invite children to use the Farm Animal Stick Puppets to creatively retell a story or sing farm songs. ,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,"C3d Sings songs, retells stories, or repeats rhymes to family members or peers",15 - 36,,"AG, 11, 17",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Farm Animal Stick Puppets,Have two children work together to tell story using farm animal stick puppets,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,"C3d Sings songs, retells stories, or repeats rhymes to family members or peers",15 - 36,,"AG, 11, 27",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Farm Animal Stick Puppets,Have two children work together to tell story using farm animal puppets ,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,"C3d Sings songs, retells stories, or repeats rhymes to family members or peers",15 - 36,,"AG, 11, 37",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Farm Nursery Rhymes,"Recite nursery rhymes with children, ask ""Do you think Bo Peep's sheep will come home?"" and ""What might happen to the sheep that Little Boy Blue is supposed to be watching?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C2e Answers simple questions,15 - 36,,"AG, 11, 37",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Finger Family,Teach children this family finger play. Point to a finger as you introduce each new family member. Begin with the thumb as the mother and end with the pinky finger as the baby.,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 2, 9",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Five Little Ducks,"Sing ""Five Little Ducks"", ask children questions",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C2e Answers simple questions,15 - 36,,"AG, 11, 16",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Forget-Me-Not,"Ask children about special memory of relative, write and decorate on paper and plant forget-me-not seeds in paper cup to give to family",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,C2e Answers simple questions,15 - 36,,"AG, 2, 18",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"Friend, Playmate, Buddy",Help children create a list of words to describe their friends,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C1d C2a C2c Uses expressive vocabulary of 60 words by 24 months,15 - 36,,"AG, 3, 7",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Gram is Coming to My House,"After you read story a couple of times, ask children to name types of vehicles mentioned in story",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,C2e Answers simple questions,15 - 36,,"AG, 2, 16",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Grandma's Glasses,"Teach children ""Grandma's Glasses"" finger play, ask children what was special about grandparents",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,C2e Answers simple questions,15 - 36,,"AG, 2, 17",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Grandpa and Me,Share the rhyme. Ask children about activities they do with their grandparents or with special friends.,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,C2e Answers simple questions,15 - 36,,"AG, 2, 16",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Grandpa's Farm,"Read story, ask children ""could there be a cat or dog on the farm?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C2e Answers simple questions,15 - 36,,"AG, 11, 16",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Grandpa's Farm,"Read book, ask children questions",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C2e Answers simple questions,15 - 36,,"AG, 11, 26",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Grandpa's Farm,"Read book, ask children to describe experiences they have had with sheep",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C2e Answers simple questions,15 - 36,,"AG, 11, 36",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Grandpa's Farm,"Read book, ask ""Where do your grandparents live?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C2e Answers simple questions,15 - 36,,"AG, 11, 6",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Gross and Fine Motor,Have children smell play dough as they work using their nose discuss the smells,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,C1c C1d Shows one or more body parts,15 - 36,,"AG, 1, 13",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Gross Motor,"Challenge children to toss beanbags into box or basket, discuss arms and hands",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,C1d Uses identification words correctly (“eye”),15 - 36,,"AG, 1, 23",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Hands and Fingers,"Read story to children, teach ASL for hands and fingers",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C1c Makes non-verbal requests (points to soiled diaper, pulls on caregiver’s clothing, hold hands up to be picked up, uses sign language)",15 - 36,,"AG, 1, 26",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Heart,"Read story, ask children ""Who would you give a heart to? Why?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18196,C2e Answers simple questions,15 - 36,,"AG, 6, 36",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Heartbeat,"Have children feel heartbeats before and after they run across playground and ask ""what changed?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C2e Answers simple questions,15 - 36,,"AG, 3, 13",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"I Can, Can You?","Recite ""I Can, Can You?"" poem",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 1, 26",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"I Can, Can You?",Invite children to act out rhyme and repeat it to peers,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C3d Sings songs, retells stories, or repeats rhymes to family members or peers",15 - 36,,"AG, 1, 6",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,I Like Your Nose,"Gently touch partner's nose, eyes, ears, and chin to I Like Your Nose poem",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,C1c C1d Shows one or more body parts ,15 - 36,,"AG, 1, 5",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,I Look in the Mirror,"Share ""I Look in the Mirror"" poem with children while looking in the mirror",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,C1d Uses identification words correctly (“eye”),15 - 36,,"AG, 1, 6",,,,,,
